request_id,purchase_type,amount,department,request_date,approval_route,total_time_hours,return_count,rejection_reason,clarification_count,final_status
13048,IT,195650.19,Administration,2026-01-06,Manager → IT → Finance → Procurement,21.29,0,,0,Одобрена
13365,Простая,11523.11,HR,2026-01-06,Manager → Procurement,3.92,0,,0,Одобрена
10809,IT,104645.13,IT,2026-01-06,Manager → IT → Finance → Procurement,18.34,0,,1,В процессе
10082,Простая,25079.42,HR,2026-01-06,Manager → Procurement,13.66,0,,0,Одобрена
12636,Простая,15653.56,IT,2026-01-06,Manager → Procurement,12.5,0,,0,Одобрена
10838,Юридическая,333165.45,Sales,2026-01-07,Manager → Finance → Legal → Procurement,85.6,0,,0,Одобрена
14149,Простая,50000.0,Sales,2026-01-07,Manager → Procurement,4.98,0,,0,Одобрена
10427,Простая,8393.12,Administration,2026-01-07,Manager → Procurement,9.27,0,,0,В процессе
11018,IT,174029.28,Operations,2026-01-07,Manager → IT → Finance → Procurement,13.11,0,Недостаточно бюджета,0,Отклонена
14220,IT,182936.72,IT,2026-01-07,Manager → Finance → IT → Procurement,46.55,0,,0,Одобрена
10686,Простая,14083.17,IT,2026-01-07,Manager → Procurement,19.16,0,,0,Одобрена
11046,Простая,7578.4,Sales,2026-01-07,Manager → Procurement,8.25,0,,0,Одобрена
14323,IT,87626.92,IT,2026-01-07,Manager → IT → Finance → Procurement,26.72,0,,0,Одобрена
10241,IT,61877.31,IT,2026-01-07,Manager → IT → Finance → Procurement,59.44,0,,0,Одобрена
13725,IT,90916.5,Sales,2026-01-07,Manager → IT → Finance → Procurement,56.52,0,,0,Одобрена
12364,Юридическая,154925.65,Operations,2026-01-07,Manager → Finance → Legal → Procurement,48.78,0,,0,Одобрена
13573,Простая,29230.32,Operations,2026-01-07,Manager → Procurement,9.73,0,,1,Одобрена
11438,IT,184461.13,Marketing,2026-01-07,Manager → IT → Finance → Procurement,42.11,0,,1,Одобрена
12394,Простая,14419.79,Finance,2026-01-07,Manager → Procurement,3.23,0,,0,Одобрена
14876,IT,44701.21,Sales,2026-01-07,Manager → IT → Finance → Procurement,19.9,0,,0,Одобрена
11453,Юридическая,1607051.0,Sales,2026-01-08,Manager → Finance → Legal → Procurement,21.02,0,,0,Одобрена
10766,Простая,32489.67,Sales,2026-01-08,Manager → Procurement,4.13,0,,0,Одобрена
10744,Простая,21264.84,Operations,2026-01-08,Manager → Procurement,15.65,0,,1,Одобрена
12912,Простая,5241.36,IT,2026-01-08,Manager → Procurement,1.0,0,,0,Одобрена
14048,Простая,12844.58,Sales,2026-01-08,Manager → Procurement,11.37,0,,0,Одобрена
12157,Простая,12454.43,Operations,2026-01-08,Manager → Finance → Procurement,25.76,0,,1,Одобрена
10025,IT,75205.75,HR,2026-01-08,Manager → IT → Finance → Procurement,44.35,0,Некорректные данные,0,Отклонена
11941,Простая,18020.51,Finance,2026-01-08,Manager → Procurement,6.03,0,,0,В процессе
12054,IT,116142.82,Sales,2026-01-08,Manager → IT → Finance → Procurement,26.86,0,,0,Одобрена
10527,Юридическая,1726646.33,Marketing,2026-01-09,Manager → Finance → Legal → Procurement,83.17,0,,0,Одобрена
10104,Юридическая,241966.36,HR,2026-01-09,Manager → Finance → Legal → Procurement,41.24,0,,1,Одобрена
13925,Простая,8882.97,Sales,2026-01-09,Manager → Procurement,14.72,0,,0,Одобрена
12952,IT,56248.79,HR,2026-01-09,Manager → IT → Finance → Procurement,33.2,0,,0,Одобрена
11613,IT,70799.39,Sales,2026-01-09,Manager → IT → Finance → Procurement,30.64,0,,0,В процессе
14763,Юридическая,1679614.28,Finance,2026-01-09,Manager → Finance → Legal → Procurement,81.87,0,,0,Одобрена
13323,IT,207345.49,IT,2026-01-09,Manager → IT → Finance → Procurement,27.06,0,Технические требования не соблюдены,0,Отклонена
11816,IT,69013.64,IT,2026-01-09,Manager → IT → Finance → Procurement,39.41,0,Недостаточно бюджета,1,Отклонена
10824,IT,167290.45,IT,2026-01-09,Manager → IT → Finance → Procurement,24.12,0,,0,В процессе
13051,Юридическая,291345.09,Sales,2026-01-09,Manager → Finance → Legal → Procurement,58.73,0,Недостаточно бюджета,0,Отклонена
11783,Простая,11670.23,HR,2026-01-09,Manager → Procurement,3.74,0,,0,Одобрена
14322,IT,62823.7,Marketing,2026-01-09,Manager → IT → Finance → Procurement,33.45,0,,0,Одобрена
11798,Простая,24662.56,IT,2026-01-09,Manager → Procurement,7.53,0,,1,Одобрена
14508,Простая,23288.44,IT,2026-01-10,Manager → Finance → Procurement,24.56,0,,0,Одобрена
13559,IT,40195.04,Marketing,2026-01-10,Manager → IT → Finance → Procurement,37.93,0,,0,Одобрена
12288,IT,58825.41,IT,2026-01-10,Manager → IT → Finance → Procurement,25.82,0,,0,Одобрена
10737,Простая,31920.2,HR,2026-01-10,Manager → Procurement,8.41,0,,0,Одобрена
12892,Юридическая,1746595.52,Administration,2026-01-10,Manager → Legal → Finance → Procurement,82.12,1,,3,Одобрена
13552,IT,100404.35,HR,2026-01-10,Manager → IT → Finance → Procurement,47.5,0,,1,Одобрена
13249,Юридическая,563086.34,Sales,2026-01-10,Manager → Finance → Legal → Procurement,104.36,0,,0,Одобрена
12984,IT,236566.85,Administration,2026-01-10,Manager → IT → Finance → Procurement,27.98,0,,1,Одобрена
10622,Простая,23010.97,Marketing,2026-01-10,Manager → Procurement,14.58,0,,0,Одобрена
12986,Простая,15163.53,Marketing,2026-01-11,Manager → Procurement,5.35,0,,0,Одобрена
13443,Простая,27107.4,Marketing,2026-01-11,Manager → Procurement,3.42,0,,1,Одобрена
11486,Простая,4929.42,Operations,2026-01-11,Manager → Procurement,6.06,0,,0,Одобрена
13817,Простая,50000.0,Operations,2026-01-11,Manager → Procurement,5.21,0,,0,Одобрена
11477,Простая,17634.6,Operations,2026-01-11,Manager → Procurement,1.56,0,,1,Одобрена
14852,IT,246578.03,Finance,2026-01-11,Manager → IT → Finance → Procurement,33.09,0,,0,Одобрена
13503,Простая,49283.15,IT,2026-01-11,Manager → Procurement,8.69,0,Недостаточно бюджета,1,Отклонена
10695,Юридическая,1302674.11,Finance,2026-01-11,Manager → Finance → Procurement → Legal,45.27,0,,0,Одобрена
11336,Юридическая,381279.24,Sales,2026-01-12,Manager → Finance → Legal → Procurement,120.54,0,,0,Одобрена
13263,Простая,17292.75,Operations,2026-01-12,Manager → Procurement,7.75,0,,0,Одобрена
14321,IT,155362.25,Finance,2026-01-12,Manager → IT → Finance → Procurement,13.69,0,,1,В процессе
11578,IT,116013.35,Operations,2026-01-12,Manager → IT → Finance → Procurement,23.05,0,,0,Одобрена
13269,Юридическая,533457.23,Finance,2026-01-12,Manager → Finance → Legal → Procurement,28.16,0,,0,Одобрена
14261,Юридическая,862576.97,Administration,2026-01-12,Manager → Finance → Legal → Procurement,104.45,2,,3,Одобрена
11108,Простая,14085.27,IT,2026-01-12,Manager → Procurement,2.3,0,,1,Одобрена
14948,IT,180564.1,Marketing,2026-01-12,Manager → IT → Finance → Procurement,65.65,0,,1,Одобрена
13563,Юридическая,309034.93,Operations,2026-01-12,Manager → Finance → Legal → Procurement,99.13,0,,0,Одобрена
13103,Юридическая,233715.25,Finance,2026-01-13,Manager → Finance → Legal → Procurement,43.77,0,,0,Одобрена
11464,Простая,18372.39,Marketing,2026-01-13,Manager → Procurement,32.5,2,,4,Одобрена
12672,Простая,11727.35,IT,2026-01-13,Manager → Procurement,8.11,0,,1,Одобрена
11542,Простая,14088.69,Marketing,2026-01-13,Manager → Procurement,13.12,0,,0,Одобрена
12335,Простая,20485.25,Sales,2026-01-13,Manager → Procurement,6.21,0,,0,Одобрена
14215,IT,90611.71,IT,2026-01-13,Manager → IT → Finance → Procurement,33.92,0,,0,Одобрена
12312,Простая,7690.93,Marketing,2026-01-13,Manager → Procurement,3.18,0,,1,Одобрена
12864,Простая,16469.4,Sales,2026-01-13,Manager → Procurement,28.18,1,,3,Одобрена
14765,Простая,12304.39,Sales,2026-01-13,Manager → Procurement,2.89,0,,1,Одобрена
13790,IT,34347.62,Operations,2026-01-13,Manager → IT → Finance → Procurement,12.87,0,,1,Одобрена
13157,Простая,9717.48,Operations,2026-01-13,Manager → Procurement,2.35,0,,0,В процессе
11446,IT,98759.72,IT,2026-01-13,Manager → IT → Finance → Procurement,41.7,0,,0,Одобрена
10001,IT,36633.04,Marketing,2026-01-13,Manager → Finance → IT → Procurement,34.17,0,,0,Одобрена
10099,Простая,11613.33,Operations,2026-01-13,Manager → Procurement,7.57,0,,0,Одобрена
11385,Юридическая,327812.57,IT,2026-01-13,Manager → Finance → Legal → Procurement,84.4,0,,0,В процессе
11734,Простая,7210.35,Operations,2026-01-13,Manager → Procurement,12.24,0,,1,Одобрена
10194,IT,139711.37,Finance,2026-01-14,Manager → IT → Finance → Procurement,37.31,2,,3,В процессе
10008,IT,97385.7,Finance,2026-01-14,Manager → IT → Finance → Procurement,47.24,2,,6,Одобрена
14302,IT,64169.18,Sales,2026-01-14,Manager → IT → Finance → Procurement,32.23,0,,0,В процессе
11901,IT,223825.2,Sales,2026-01-14,Manager → IT → Finance → Procurement,42.83,0,,0,Одобрена
10677,Юридическая,248272.98,IT,2026-01-14,Manager → Finance → Legal → Procurement,56.81,0,,0,Одобрена
10433,IT,150880.03,Finance,2026-01-14,Manager → IT → Finance → Procurement,47.68,0,,1,Одобрена
10498,IT,109488.9,Marketing,2026-01-14,Manager → IT → Finance → Procurement,73.8,2,,6,Одобрена
12085,IT,107925.31,HR,2026-01-14,Manager → IT → Finance → Procurement,90.58,0,,0,Одобрена
12019,IT,181536.37,IT,2026-01-14,Manager → IT → Finance → Procurement,1.0,0,,0,Одобрена
10892,Юридическая,100000.0,HR,2026-01-14,Manager → Finance → Legal → Procurement,97.76,0,,0,Одобрена
14413,IT,236508.12,Marketing,2026-01-14,Manager → Finance → IT → Procurement,86.08,2,,6,Одобрена
11991,Простая,9041.52,IT,2026-01-15,Manager → Procurement,6.86,0,Не согласовано руководителем,0,Отклонена
14315,Простая,14329.48,IT,2026-01-15,Manager → Procurement,4.57,0,,0,В процессе
14562,Простая,5411.72,IT,2026-01-15,Manager → Procurement,1.55,0,,0,Одобрена
12475,Простая,17586.71,Sales,2026-01-15,Manager → Procurement,5.84,0,,0,Одобрена
10413,Простая,50000.0,Marketing,2026-01-15,Manager → Procurement,1.0,0,,0,Одобрена
11021,Юридическая,466872.79,Administration,2026-01-15,Manager → Finance → Legal → Procurement,57.75,0,,1,Одобрена
10501,IT,50253.32,IT,2026-01-15,Manager → IT → Finance → Procurement,46.33,1,,1,В процессе
14596,Юридическая,951566.21,Sales,2026-01-15,Manager → Finance → Legal → Procurement,91.54,0,,0,Одобрена
13756,Простая,14013.52,Marketing,2026-01-15,Manager → Procurement,12.46,0,,0,В процессе
12706,Простая,10074.35,Sales,2026-01-15,Manager → Procurement,5.9,0,,1,Одобрена
12237,Простая,8733.96,Sales,2026-01-15,Manager → Procurement,5.69,0,,0,В процессе
12004,IT,133089.08,Sales,2026-01-15,Manager → IT → Finance → Procurement,36.27,1,,2,В процессе
14637,Простая,26653.86,HR,2026-01-15,Manager → Procurement,1.0,0,,0,Одобрена
13742,Простая,45263.04,Finance,2026-01-15,Manager → Procurement,9.21,0,,1,Одобрена
12946,Простая,26860.69,Marketing,2026-01-15,Manager → Procurement,5.53,0,,0,Одобрена
11627,Простая,39555.2,HR,2026-01-15,Manager → Procurement,10.69,0,,0,Одобрена
12821,Простая,4197.32,HR,2026-01-16,Manager → Procurement,10.25,0,,1,Одобрена
14148,IT,120435.41,Sales,2026-01-16,Manager → IT → Finance → Procurement,50.07,0,Некорректные данные,0,Отклонена
14137,IT,46585.2,Sales,2026-01-16,Manager → IT → Finance → Procurement,48.24,0,,0,Одобрена
10689,IT,90097.89,Operations,2026-01-16,Manager → IT → Finance → Procurement,41.78,0,,1,Одобрена
14829,IT,89728.72,Sales,2026-01-16,Manager → IT → Finance → Procurement,30.1,0,,0,В процессе
11501,IT,48076.97,Administration,2026-01-16,Manager → IT → Finance → Procurement,44.4,0,,0,Одобрена
13409,IT,208756.55,Operations,2026-01-16,Manager → IT → Finance → Procurement,33.75,0,,0,Одобрена
14355,Юридическая,337106.12,Finance,2026-01-16,Manager → Finance → Legal → Procurement,63.92,2,,3,Одобрена
11664,Простая,20925.83,Operations,2026-01-16,Manager → Finance → Procurement,21.82,0,,0,Одобрена
11269,Простая,8744.57,IT,2026-01-16,Manager → Procurement,15.79,0,Не согласовано руководителем,0,Отклонена
12709,Простая,6393.59,Sales,2026-01-16,Manager → Procurement,10.63,0,,0,Одобрена
12190,Юридическая,457355.52,Finance,2026-01-16,Manager → Finance → Legal → Procurement,73.34,1,Некорректные данные,3,Отклонена
14123,Юридическая,523415.66,Operations,2026-01-17,Manager → Finance → Legal → Procurement,33.51,0,,0,Одобрена
13562,IT,30000.0,Marketing,2026-01-17,Manager → IT → Finance → Procurement,22.87,0,,0,Одобрена
11661,Простая,11209.58,Marketing,2026-01-17,Manager → Procurement,8.55,0,,0,Одобрена
10280,Юридическая,379684.95,Finance,2026-01-17,Manager → Finance → Legal → Procurement,35.51,0,,0,Одобрена
14538,Юридическая,1005254.07,Marketing,2026-01-17,Manager → Finance → Legal → Procurement,108.59,0,,0,Одобрена
13383,Юридическая,168093.44,IT,2026-01-17,Manager → Finance → Legal → Procurement,49.21,0,,0,Одобрена
10026,Простая,10890.24,HR,2026-01-17,Manager → Procurement,2.1,0,,1,Одобрена
12656,Юридическая,709911.25,Operations,2026-01-17,Manager → Finance → Legal → Procurement,36.81,1,,3,Одобрена
10439,IT,68008.58,Administration,2026-01-17,Manager → IT → Finance → Procurement,59.22,0,,0,Одобрена
14035,Простая,50000.0,Sales,2026-01-17,Manager → Procurement,6.58,0,,1,Одобрена
13921,Простая,13665.71,Sales,2026-01-17,Manager → Procurement,8.94,0,,0,Одобрена
13661,Простая,16220.8,Marketing,2026-01-17,Manager → Procurement,11.71,0,,0,Одобрена
11529,Простая,29920.58,Sales,2026-01-17,Manager → Procurement,13.54,0,,0,Одобрена
13967,Простая,20913.95,Sales,2026-01-17,Manager → Procurement,6.28,0,,0,Одобрена
10370,Юридическая,772844.98,Marketing,2026-01-17,Manager → Finance → Legal → Procurement,74.76,0,Недостаточно бюджета,0,Отклонена
10558,Простая,50000.0,Marketing,2026-01-17,Manager → Procurement,1.0,0,,0,Одобрена
11231,Простая,39663.37,Administration,2026-01-17,Manager → Procurement,11.47,0,,0,Одобрена
10306,Простая,25424.09,HR,2026-01-17,Manager → Procurement,1.0,0,,0,Одобрена
12296,Простая,28639.31,Administration,2026-01-18,Manager → Procurement,4.32,0,,0,В процессе
12623,Простая,50000.0,IT,2026-01-18,Manager → Procurement,11.45,0,,0,Одобрена
12121,Простая,37098.81,Sales,2026-01-18,Manager → Procurement,2.71,0,Недостаточно бюджета,0,Отклонена
13758,Простая,47221.67,IT,2026-01-18,Manager → Procurement,11.07,0,,0,Одобрена
13450,IT,88670.04,Operations,2026-01-18,Manager → IT → Finance → Procurement,32.36,2,,3,Одобрена
10898,Простая,8304.81,Operations,2026-01-18,Manager → Procurement,2.42,0,,0,Одобрена
13638,Простая,2332.57,Sales,2026-01-18,Manager → Finance → Procurement,24.16,0,,0,В процессе
13643,IT,95221.11,IT,2026-01-18,Manager → IT → Finance → Procurement,46.72,0,Недостаточно бюджета,0,Отклонена
10494,Простая,17574.07,Marketing,2026-01-18,Manager → Procurement,10.96,0,,0,Одобрена
12685,Простая,5772.94,IT,2026-01-18,Manager → Procurement,4.45,0,,0,Одобрена
12931,IT,54554.01,Marketing,2026-01-18,Manager → Finance → IT → Procurement,25.43,0,,0,В процессе
12547,Юридическая,287046.56,Sales,2026-01-18,Manager → Legal → Finance → Procurement,70.05,0,,0,Одобрена
10368,IT,86108.75,Operations,2026-01-18,Manager → IT → Finance → Procurement,39.68,1,,2,Одобрена
13947,Простая,6168.28,IT,2026-01-18,Manager → Procurement,3.57,0,,0,Одобрена
11753,Юридическая,1572853.33,Operations,2026-01-19,Manager → Finance → Legal → Procurement,43.24,0,,0,Одобрена
13441,Простая,8501.33,Operations,2026-01-19,Manager → Procurement,33.04,0,,0,Одобрена
13325,IT,87899.7,Operations,2026-01-19,Manager → IT → Finance → Procurement,41.17,0,,0,Одобрена
12131,Простая,26369.58,Sales,2026-01-19,Manager → Procurement,2.91,0,,0,Одобрена
10964,Простая,8779.64,Marketing,2026-01-19,Manager → Procurement,10.73,0,,0,Одобрена
10845,Простая,10245.89,Sales,2026-01-19,Manager → Procurement,8.24,0,,1,Одобрена
13084,IT,112198.81,HR,2026-01-19,Manager → IT → Finance → Procurement,18.57,0,,0,Одобрена
10399,Простая,7672.83,Finance,2026-01-19,Manager → Procurement,5.3,0,,0,Одобрена
13064,Юридическая,167467.47,Operations,2026-01-19,Manager → Finance → Legal → Procurement,1.0,0,,0,Одобрена
12888,Юридическая,334414.24,Marketing,2026-01-19,Manager → Finance → Legal → Procurement,97.59,0,,0,Одобрена
11736,IT,94227.79,Administration,2026-01-19,Manager → IT → Finance → Procurement,30.07,0,,0,Одобрена
12194,Простая,19354.36,Sales,2026-01-19,Manager → Procurement,13.53,0,,0,Одобрена
10247,IT,53621.12,Sales,2026-01-19,Manager → IT → Finance → Procurement,49.6,2,,3,Одобрена
12512,Простая,26296.12,Sales,2026-01-19,Manager → Procurement,10.66,0,,0,Одобрена
14722,IT,108345.86,Administration,2026-01-19,Manager → IT → Finance → Procurement,21.17,0,,1,Одобрена
12538,Простая,7714.37,Operations,2026-01-19,Manager → Procurement,8.93,0,,0,Одобрена
14803,Простая,28898.89,Finance,2026-01-20,Manager → Procurement,10.82,0,,0,Одобрена
12466,IT,39720.67,IT,2026-01-20,Manager → IT → Finance → Procurement,4.4,0,,0,Одобрена
11004,Простая,17161.59,IT,2026-01-20,Manager → Procurement,13.56,0,,0,Одобрена
14088,IT,60719.32,Operations,2026-01-20,Manager → IT → Finance → Procurement,47.13,0,,0,Одобрена
12519,IT,94497.51,Sales,2026-01-20,Manager → IT → Finance → Procurement,38.47,0,,0,В процессе
12950,Юридическая,517920.97,Administration,2026-01-20,Manager → Finance → Legal → Procurement,1.0,0,,0,Одобрена
12702,IT,64714.66,Sales,2026-01-20,Manager → IT → Finance → Procurement,23.82,0,,0,Одобрена
13069,IT,139357.98,IT,2026-01-20,Manager → IT → Finance → Procurement,25.19,1,,3,Одобрена
14287,Юридическая,454318.45,Operations,2026-01-20,Manager → Finance → Legal → Procurement,122.18,2,,5,Одобрена
14032,Простая,19156.71,Administration,2026-01-20,Manager → Procurement,2.75,0,,1,Одобрена
14024,Юридическая,305845.41,Sales,2026-01-20,Manager → Finance → Legal → Procurement,33.44,0,,0,Одобрена
14510,Простая,24046.29,IT,2026-01-20,Manager → Procurement,2.32,0,,1,Одобрена
14539,Простая,10489.47,Finance,2026-01-20,Manager → Procurement,6.84,0,,0,Одобрена
11696,IT,109569.95,Marketing,2026-01-20,Manager → Finance → IT → Procurement,51.01,2,Недостаточно бюджета,3,Отклонена
14788,IT,248047.32,Sales,2026-01-20,Manager → IT → Finance → Procurement,7.66,0,,0,Одобрена
